Id,Text,Summary
11,thirdparty services when you or others use thirdparty services or other facebook company products that are integrated with our services those thirdparty services may receive information about what you or others share with them for example if you use a data backup service integrated with our services like icloud or google drive they will receive information you share with them such as your whatsapp messages if you interact with a thirdparty service or another facebook company product linked through our services such as when you use the inapp player to play content from a thirdparty platform information about you like your ip address and the fact that you are a whatsapp user may be provided to such third party or facebook company product please note that when you use thirdparty services or other facebook company products their own terms and privacy policies will govern your use of those services and products,purpose if using personal information
12,by giving us your consent we will store your personal data until you withdraw your consent or ask for termination of your account ie by subscribing to one of our newsletters,analytics information
13,we use the collected data for various purposes including to fulfill any other purpose for which you provide it,data security
14,please note that some countries outside the uk or eu including australia do not have the same data protection laws as the uk or eu we will ensure that any transfer to such countries of your personal information in cases where the gdpr applies to such transfer either by us or by any third party supplier to whom we provide your information will unless the european commission considers their laws adequate be subject to appropriate or suitable relevant safeguards eg legally binding contract containing european commissionapproved model clauses or terms consistent with them or for transfers to the us the euus privacy shield to the extent required under the gdpr that are designed to help safeguard your privacy rights and give you remedies in the unlikely event of a misuse of your personal information if you have any queries about the basis upon which we may transfer your personal information outside of australia please contact us,audio electric visual information
15,third party services are not under our control and we are not responsible for third party services including the suitability for your intended use of the third party services we do not endorse or recommend any third party services or any associated provider organization or their product or services you should make your enquiries as to the suitability of any third party service,using analytics services 
16,update or correct data you can edit some of your personal information through your account you can also ask us to change update or fix your data in certain cases particularly if its inaccurate,what is a cookie
17,if you opt in to anonymous data collection through the product the product may electronically send anonymous information to jetbrains related to your usage of the product features this information may include but is not limited to frameworks file templates being used in the ides actions invoked and other interactions with product features this information will contain neither source code nor your personal data nor information about your jetbrains account or subscription information,blocking access to suspicious websites
18,basic subscription information if you create an account account or wps id in connection with your use of any of the services either through our sites or when you download and install our apps and products well collect certain information about you such as your name email address postal address if you create an account using your login credentials from one of your accounts with thirdparty social networking services such as google facebook microsoft dropbox or twitter each an sns account well be able to access and collect your name and email address and other information that your privacy settings on the sns account permit us to access if you create an account we may also collect other nonpersonal data information eg virtual device identifier,the precedure of dealing with forwarded media
19,business interactions we enable you and third parties like businesses to communicate and interact with each other using our services such as catalogs for businesses on whatsapp through which you can browse products and services and place orders businesses may send you transaction appointment and shipping notifications product and service updates and marketing for example you may receive flight status information for upcoming travel a receipt for something you purchased or a notification when a delivery will be made messages you receive from a business could include an offer for something that might interest you we do not want you to have a spammy experience as with all of your messages you can manage these communications and we will honor the choices you make,device signals
20,if you create an account we will store your name address email and phone number which will be used to populate the checkout for future orders,share device identifiers with third parties 
21,personally identifiable information consists of any information which can be used to specifically identify you as an individual whereas,protecting users data while using google analytics
22,in order to make certain services available to you we may need to share your personal data with some of our service providers particularly for delivery of goods and services and communications with you,incognito mode and guest mode
23,if chrome detects signs that you are being actively attacked by someone on the network a man in the middle attack chrome may send information about that connection to google or the website you visited to help determine the extent of the attack and how the attack functions google provides participating website owners with reports about attacks occurring on their sites,personal information
24,professional and employment related information data analytics providers fraud prevention partners recruiting partners,<eb forms data
25,docker may use cookies to make interactions with the companys website easy and meaningful when you visit the companys website dockers servers send a cookie to your computer standing alone cookies do not personally identify you they merely recognize your web browser unless you choose to identify yourself to docker,storing data by premium users 
26,our processing of personal data for these purposes includes both automated and manual human methods of processing,provide measurement analytics and other business services
27,usage data we collect and log internet or other electronic network information on how you and others access and use evernote for example the act of creating a note or sharing a note usage data may be collected,consent to store data
28,we use your content activity and other data including your name and photo to provide notices to your network and others for example subject to your settings we may notify others that you have updated your profile posted content took a social action used a feature made new connections or were mentioned in the news,help resplve problems 
29,device attributes information such as the operating system hardware and software versions battery level signal strength available storage space browser type app and file names and types and plugins,protect personal information
30,the right to access to your personal information and to certain other supplementary information,sending customers information and updates
31,when this occurs these technologies are used to measure the effectiveness of their advertising campaigns,cookies
32,docker may partner with other companies to jointly offer products or services if you purchase or specifically express interest in a jointly offered product or service from docker the company may share data about docker customers collected in connection with your purchase or expression of interest with our joint promotion partners,participate in events 
33,we will retain your personal data only for as long as is necessary for the purposes set out in this privacy policy we will retain and use your personal data to the extent necessary to comply with our legal obligations,how safety security and integrity are protected
34,the information we collect may be used for the following purpose we will send you the software upgrade information for example promotional materials newsletters or special offers etc according to your interest after your consent,personalize user experience
35,cookies may be served by the entity that operates the website you are visiting firstparty cookies or by other companies thirdparty cookies,using thirdparty tracking tools
36,help your friends and contacts find you on pinterest for example if you sign up using a facebook account we may help your facebook friends find your account on pinterest when they first sign up for pinterest or we may allow people to search for your account on pinterest using your email address,personalize the content of the communication
37,our services allow you to stay in touch and up to date with colleagues partners clients and other professional contacts,third party vendors service providers
38,email address will be limited to extreme cases such as notifying users of serious bugs in an application or no more than once for nonmarketing product feedback requests,viewers data
39,the normal legal basis for processing customer data is that it is necessary for complying with our legal and regulatory obligations,sharing information between facebook companies
40,while we protect our systems and services you are responsible for keeping your passwords and account information private you are also responsible for making sure your personal information is accurate and up to date,stay informed
41,to protect legitimate interests and legal rights where required by law or where we believe it is necessary to protect our legal rights legitimate interests and those of others we may use or disclose information about you in connection with legal claims compliance regulatory and audit functions and in connection with the acquisition merger or sale of a business,resolving complaints
42,as further described in our cookie policy we use cookies and similar technologies eg pixels and ad tags to collect data eg device ids to recognize you and your devices on off and across different services and devices where you have engaged with our services,storing data by premium users 
43,choose whether your purchases on pinterest will be used to customize recommendations and ads for you you can view and manage your purchase history by going to order history in your account settings and if you hide a purchase from your history we will not use it to customize pinterest for you,survey information data
44,we do not intentionally collect information from registered users or visitors under the age of 13 we do not intentionally collect sensitive personal information such as social security numbers genetic data health information or religious information although we do not request or intentionally collect any sensitive personal information we realize that you might store this kind of information in your account such as in a presentation and or infographic if you store any sensitive personal information on our servers you are consenting to our storage processing and use of that information in accordance with this privacy policy,communication
45,we also use the information we collect to offer you customized content including suggesting pins or boards you might like for example if youve indicated that youre interested in cooking or visited recipe websites that have pinterest features we may suggest foodrelated pins boards or people that we think you might like showing you ads you might be interested in for example if you purchased a camping tent on pinterest we may show you ads for other outdoorsy products,google cloud
46,we collect information from you when you register on our site or place an order,complying with legal obligations
47,communications about our services and the facebook companies we use information we have to communicate with you about our services and let you know about our terms policies and other important updates we may provide you marketing for our services and those of the facebook companies,forum information
48,like any other website the data pond uses cookies these cookies are used to store information including visitors preferences and the pages on the website that the visitor accessed or visited the information is used to optimize the users experience by customizing our web page content based on visitors browser type andor other information see our cookie policy you can adjust your cookies preferences here,personal information
49,data privacy laws or regulations in your home country may differ from those in the places where you are located we will collect store and use your information in accordance with this privacy policy and applicable laws wherever it is processed,
50,we use your personal data for electronic marketing purposes with your consent and may send you postal mail to update you on the latest products and services,information provided by other users about you
51,the information we collect may be used for the following purpose link or combine with other information we get from third parties to help understand your needs and provide you with better servicen,using information for advertising
52,collecting data for our internal records and to protect our rights and interests and those of other users,privacy protection
53,fulfill your sales and support requests,information collected from other sources
54,account information we will retain information associated with your account as long as your account remains active or as necessary to provide you with the requested services,unidentifiable data
55,we log usage data when you visit or otherwise use our services including our sites app and platform technology such as when you view or click on content eg learning video or ads on or off our sites and apps perform a search install or update one of our mobile apps share articles or apply for jobs,share data with service providers
56,you can instruct your browser to refuse all cookies or to indicate when a cookie is being sent however if you do not accept cookies you may not be able to use some portions of our service,responding to requests about personal information
57,complete your payment transactions,delivering relevant evernote advertisements 
58,this website and any data you provide is hosted on servers located in france we reserve the right to change the location and country where these servers are located at any time servers will only be placed in countries with strong data protection and privacy laws,device and usage data
59,this information may be used to administer our services including contacting you in relation to payments,administer services
60,to protect your personal data we use technical physical and administrative security measures that include firewalls data encryption physical access controls at our data centers,handling complaints 
61,generally we collect and use customers personal data because it is necessary for the pursuit of our legitimate interests,anonymous data collection
62,if you use our products for purchases or other financial transactions such as when you make a purchase in a game or make a donation we collect information about the purchase or transaction this includes payment information such as your credit or debit card number and other card information other account and authentication information and billing shipping and contact details,information across meta products and devices
63,web beacons are clear electronic images that can recognize certain types of information on your computer such as cookies when you viewed a particular website tied to the web beacon and a description of a website tied to the web beacon,professional data
64,if you close your account or request that we delete personal data we still need to keep some personal data so we can complete a transaction provide goods or services you requested or comply with our promises to you in the user agreement or other contract you have with us detect and prevent malicious fraudulent or illegal activity protect your or another persons legal rights including the right to free speech manage our internal business processes that are reasonably related to your expectations when using our services comply with laws,provide troubleshooting and customer suppport
65,collaborating with others within our services you can create content which may contain account and contact information and grant permission to others to see share edit copy and download that content based on settings you or your administrator if applicable select some of the collaboration features of the services display some or all of your profile information to other service users when you share or interact with specific content you can confirm whether certain service properties are publicly visible from within the services or by contacting the relevant administrator,where data is hosted
66,if you choose to provide us with your personal information on the web we reserve the right to transfer that information within nch software or to nch softwares thirdparty service providers across borders and from your country or jurisdiction to other countries or jurisdictions around the world,the purpose for using location information
67,in the event that we are involved in a merger acquisition restructuring bankruptcy or sale of all or some of our assets we will share your information with the successor entities or new owners in connection with the transaction in accordance with applicable data protection laws,other google services
68,send you advertising or promotional materials including information about new products contests features and enhancements special offers and other events of interest from lucid and our select partners,web beacons
69,if you have an account with paypal we will associate information from all these sources with your account to improve your experience and for compliance and analytics purposes,personal data
70,our programs may collect anonymous usage data which may be sent back to use for analysis such as the number of times a menu or option is used within the program in these cases the data collected will never contain anything that can personally identify you,how is personal information protected
71,we only retain collected information for as long as necessary to provide you with your requested service what data we store well protect within commercially acceptable means to prevent loss and theft as well as unauthorized access disclosure copying use or modification,information about transactions
72,data security is of great importance to us and to protect your data we have put in place suitable physical electronic and managerial procedures to safeguard and secure data collected through our sites,no data is collected from people under 13
73,comply with valid requests or investigations by public authorities,automated decision making and profiling
74,the purpose of the google analytics component is to analyze the traffic on the website google uses the collected data and information inter alia to evaluate the use of the website and to provide online reports which show the activities on the website and to provide other services concerning the use of the website for us,language
75,our security measures include encryption of data penetration testing of systems and security controls which protect our systems from external attack and unauthorised access,the right to rectification
76,we use the information we have about you including information about your interests actions and connections to select and personalize ads offers and other sponsored content that we show you learn more about how we select and personalize ads and your choices over the data we use to select ads and other sponsored content for you in the facebook settings and instagram settings,network information
77,member information is stored on a secure server provided by our web hosting company media temple media temple is privacy shield certified to comply with data protection requirements,right to erasure
78,we use data about you such as your profile profiles you have viewed or data provided through address book uploads or partner integrations to help others find your profile,children protection
79,we collect information you enter into this website for example a username password email address any information that you fill out on your forum account profile or any information you post on the forum itself when you visit this website we maintain access logs of each page that you visit this includes your internet address ip and possibly the operating system browser version and other information that may be in your browsers headers,transfering personal information to deliver services 
80,when you participate in a videoconference with us we may record the session and retain recordings of the session if we notify you that the session is being recorded so that you can opt out,necessary emails
81,we use information about you where you have given us consent to do so for a specific purpose not listed above for example we may publish testimonials or featured customer stories to promote the services with your permission,provide troubleshooting and customer suppport
82,our sites may place and access certain firstparty cookies on your computer or device first party cookies are those placed directly by us and are used only by us we use cookies to facilitate and improve your experience of our sites and to provide and improve our products and services by using our sites you may also receive certain thirdparty cookies on your computer or device our sites uses analytics services provided by google and researchgate which also use cookies website analytics refers to a set of tools used to collect and analyse usage statistics enabling us to better understand how people use our sites,necessary emails
83,some eclipse foundation website pages use cookies to better serve you when you return to the site you can set your browser to notify you before you receive a cookie giving you the chance to decide whether to accept it you can also set your browser to turn off cookies if you do so however some areas of our sites may not function properly,where data is stored 
84,we share information with law enforcement or in response to legal requests in the circumstances outlined below,
85,in addition in rare cases we may share your information as necessary to investigate or take action regarding illegal activities suspected fraud or potential threats against persons property or the systems on which we operate the evernote service or as otherwise necessary to comply with our legal obligations,how to unsubscribe to emails services
86,if a user decides to optin to our mailing list they will receive emails that may include news and project updates if at any time the user would like to unsubscribe from receiving future emails we include detailed unsubscribe instructions at the bottom of each email or the user may contact us via our site,comments
87,sharing your contacts helps make it easier for you to find the people you want to send money to if you choose not to share your contacts with us you can still use our mobile apps but some actions may not be as fast or easy as it would be if shared your contacts another example is creating an account with us if you choose not to provide information that is required for an account to function like your name and email address we will not be able to create an account for you,providing better services
88,if you choose to receive a digital receipt via email or text when completing a payment instore well remember your choice the next time you checkout with the same payment card,identity verification
89,the main locations where we process your personal information are the us and india but we also transfer personal information to all other countries in the world where our services and software are available we carry out these transfers in compliance with applicable laws for example by putting data transfer agreements in place to help protect your personal information,third parties privacy policies
90,marketing data any contact information you provide to us for marketing purposes such as your name email address and phone number is retained on an ongoing basis until you unsubscribe from our marketing communications if you unsubscribe we will add your contact information to our do not contact list to respect your unsubscribe request,integrate advertisements on the website
91,analytics  in order to understand the use of our services we need to allow site analytics tools to access some information regarding your site usage these tools are google analytics and hotjar the information,conduct research and development
92,we may collect information that you provide when you use the services such as when you apply for a job with us online,do not track option
93,we will also share your personal information with other thirdparty data controllers the types of third parties your information may be shared with include our resellers and other sales and advertising partners retailers advertisers ad agencies advertising networks and platforms information service providers fraud monitoring and prevention providers and publishers with your consent if required thirdparty data controllers may also use adobe products and services to collect and process your personal information if you are using an email address that is associated with a business domain eg yournamebusinessnamecom to access adobes services and software or if you were invited to use the services and software by a business we may provide your personal information to that business,where personal information and files are stored
94,safety security and integrity safety security and integrity are an integral part of our services we use information we have to verify accounts and activity combat harmful conduct protect users against bad experiences and spam and promote safety security and integrity on and off our services such as by investigating suspicious activity or violations of our terms and policies and to ensure our services are being used legally please see the law our rights and protection section below for more information,how long information is retained
95,also we support the do not track browser setting and you can learn more about how it affects our collection and use of offpinterest data,purpose of storing information
96,we may obtain information from other sources and combine that with information we collect through our services for example if you create or log into your account through a thirdparty social networking site we will have access to certain information from that site such as your name account info in accordance with the authorization procedures determined by such thirdparty social networking site,using headers
97,we may collect information that you provide when you use the services such as when you otherwise communicate with us through or about the services,fullfill users provided purposes 
98,automated decisions to the extent permitted by applicable law we may collect data in an automated manner and make automated decisions including using machinelearning algorithms about viewers and customers in order to provide andor optimize screenrec services for security or analytics purposes and for any other lawful purpose,information provided by other users about you
99,when you register for an account and create an adobe id we process and keep most personal information we have about you for as long as you are an active user of our services and software when you close your account we begin deleting certain personal information that we no longer have a business reason to retain such as your hashed password and your tokenized payment account data however we typically retain personal information related to our contract and business transactions with you for ten years after your last interaction with us,device information to connect to service
100,close your account at any time when you close your account we will deactivate it and remove your pins and boards from pinterest we may retain archived copies of your information as required by law or for legitimate business purposes including to help address fraud and spam,using information for communication
101,we use the collected data for various purposes including to provide you with notices about your account andor subscription including expiration and renewal notices emailinstructions etc,employee data
102,when visiting our website or accessing our services we may also collect and store the following detail other transactional information about your access to our website or services,cookies to identify users 
103,sharing your contacts helps make it easier for you to find the people you want to send money to if you choose not to share your contacts with us you can still use our mobile apps but some actions may not be as fast or easy as it would be if shared your contacts another example is creating an account with us if you choose not to provide information that is required for an account to function like your name and email address we will not be able to create an account for you,email contact
104,we get information about your signup and current location country and city from your ip address and device settings an ip address is a number that is assigned to your device by your internet service provider when you are accessing the internet you may receive personalized messages based on your location,handling customer contacts queries 
105,we receive information when you view content on or otherwise interact with the services even if you are a visitor for example when you visit our websites sign into our services interact with our email notifications or visit a third party service that includes content from our services we may receive information about you or combine such information with other personal information this service usage information includes data such as your ip address browser type operating system the referring web page pages visited within our services location your mobile carrier device information including device and application ids search terms and cookie information,ways of processing data
106,thirdparty service providers we work with thirdparty service providers and other facebook companies to help us operate provide improve understand customize support and market our services for example we work with them to distribute our apps provide our technical and physical infrastructure delivery and other systems provide engineering support cybersecurity support and operational support supply location map and places information process payments help us understand how people use our services market our services help you connect with businesses using our services conduct surveys and research for us ensure safety security and integrity and help with customer service these companies may provide us with information about you in certain circumstances for example app stores may provide us with reports to help us diagnose and fix service issues,providing services
107,in addition to the above and with your explicit opt in consent we may share your data with third parties to facilitate customised ad campaigns on other platforms such as facebook,transfers of personal information 
108,there are two main types of ads that google adsense can display personalized ads and nonpersonalized ads personalized ads are more useful to you because they are based on your interests demographics and other criteria personalized ads use cookies to provide advertisers with this information nonpersonalized ads are less useful because they are based only on the content of the web page you are visiting while nonpersonalized ads still use cookies to allow for frequency capping aggregated ad reporting and to combat fraud and abuse they do not track any personally identifiable information about you,retaining information
109,we use data to verify your identity,providing better services
110,in particular we use data to provide our products which includes updating securing and troubleshooting as well as providing support it also includes sharing data when it is required to provide the service or carry out the transactions you request,how to use services information
111,enable you to invite others to become a member and connect with you,procedure of unwillingly collecting not allowed data
112,protect the security or integrity of the services or protect the rights property or safety of you other users employees partners and affiliates or other natural persons,credit score information
113,if a user decides to optin to our mailing list they will receive emails that may include news and project updates if at any time the user would like to unsubscribe from receiving future emails we include detailed unsubscribe instructions at the bottom of each email or the user may contact us via our site,annual revenues number
114,information inferred from data described above for example using job titles from a profile to infer industry seniority and compensation bracket using graduation dates to infer age or using first names or pronoun usage to infer gender using your feed activity to infer your interests or using device data to recognize you as a member,staying connected 
115,we store processes and maintain files that you create and or upload using the services as well as previous versions of your files including lucid documents that you create sharing lists and other data related to your account in order to provide the service to you,improve website
116,we share your personal data with your consent or to complete any transaction or provide any product you have requested or authorized,unidentifiable data
117,we do not knowingly collect any personal identifiable information from children under the age of 16 if you think that your child provided this kind of information on our website we strongly encourage you to contact us immediately and we will do our best efforts promptly to remove such information from our records,cookies
118,adobe advertises online in a variety of ways including displaying adobe ads to you on other companies websites and apps and on social media platforms such as facebook and linkedin adobe websites use cookies and similar technologies provided by our own company adobe experience cloud and other companies that allow us to gather additional information to measure and improve the effectiveness of our advertising we collect information such as which ads are displayed which ads are clicked on and  where the ad was displayed,protecting from piracy
119,lucid reserves the right to review documents to help resolve problems with our software or services or to ensure compliance with our terms of service,support information
120,cookies are files with a small amount of data which may include an anonymous unique identifier cookies are sent to your browser from a website and stored on your device other tracking technologies are also used such as beacons tags and scripts to collect and track information and to improve and analyze our service,payment information
121,payment processing we use thirdparty payment services payment service to process credit card payments for certain editions of screenrec services customers acknowledge and agree within their screenrec services agreement that when prompted to provide credit card information that information gets transmitted directly to the payment service screenrec does not have access to full credit card numbers and does not store such information in its own systems information transmitted to the payment service is encrypted using ssl technology the payment service is required to comply with all applicable privacy and security laws and the rules and regulations issued by the payment card industry and the credit card companies please contact us at privacyscreenreccom if you would like screenrec to facilitate the correction or deletion of your personal information with the payment service,sharing data with affiliates corporates
122,your profile is fully visible to all members and customers of our services subject to your settings it can also be visible to others on or off of our services,online survey data
123,as a platform for open source innovation and collaboration personal information on all eclipse foundation websites is either meant to be shared for example records of your contributions to our open source projects or protected such as your name and email address when you subscribe to our newsletter,transactional information
124,when microsoft sends communications to a customer we use data to personalize the content of the communication,verify identity
125,we will ensure that your personal data is processed lawfully fairly and transparently without adversely affecting your rights we will only process your personal data,contacting users
126,the information we collect may be used for the following purpose we will send you the software upgrade information for example promotional materials newsletters or special offers etc according to your interest after your consent,devlop products 
127,if not otherwise noted we will store your personal data as long as you are a customer of our or have an account on our sites if your customer relationship or credit score information is normally deleted within 3 months after being acquired,analyse the use of the website
128,google analytics does not track any personally identifiable information about you as a user it provides only generalized information,personalizing user experience
129,this information may be used to administer our services including contacting you in relation to payments,administer services
130,lucid may share your personal information with third parties in the following circumstances with your employer if you are a registered user and the domain of the primary email address associated with your account is owned by your employer,transactional data 
131,we receive information about your visits and interaction with services provided by others when you login with linkedin or visit others services that include some of our plugins such as apply with linkedin or our ads cookies or similar technologies,what are the collected information
132,you also may give us permission to access your information in other services for example you may link your facebook or twitter account to pinterest which allows us to obtain information from those accounts like your friends or contacts the information we get from those services often depends on your settings or their privacy policies so be sure to check what those are,sharing aggregate information 
133,in addition to the data that you provide to us directly by either typing it in on our site or uploading it we also use technology to track various aspects of site usage,no access to credit card numbers 
134,docker may partner with other companies to jointly offer products or services if you purchase or specifically express interest in a jointly offered product or service from docker the company may share data about docker customers collected in connection with your purchase or expression of interest with our joint promotion partners,stop receiving promotional emails
135,our services have optional features which if used by you require us to collect additional information to provide such features you will be notified of such collection as appropriate if you choose not to provide the information needed to use a feature you will be unable to use the feature for example you cannot share your location with your contacts if you do not permit us to collect your location data from your device permissions can be managed through your settings menu on both android and ios devices,using information for advertising
136,one of the primary purposes of the eclipse foundation and its websites is to enable collaborative opensource software development doing so necessarily requires us to maintain records of authorship related to all contributions any personally identifiable information collected by virtue of your contributions will be publicly available on the internet in unencrypted form and without access restriction,how to transmit a svg file on the web
137,under the gdpr where it applies you have a number of important rights free of charge in summary those include rights to fair processing of information and transparency over how we use your use personal information that this privacy notice is already designed to address,the purpose of collecting additional information
138,if you use our products for purchases or other financial transactions such as when you make a purchase in a game or make a donation we collect information about the purchase or transaction this includes payment information such as your credit or debit card number and other card information other account and authentication information and billing shipping and contact details,prerendering
139,choose whether pinterest will be customized for you using information from offpinterest websites or apps if you have a pinterest account and want to control how your offpinterest data is used to tailor your experience you can visit your account settings and update your preferences if you do not have a pinterest account or do not want us to customize pinterest for you when you are signed out you can opt out here,managing data in different states
